Strategy,Instrument,Data series,Parameters,Position,Acct. position,Sync,Avg. price,Unrealized,Realized,Account display name,Connection,Enabled,
FluxV1,MNQ JUN26,1 Minute,1/True/15/35/3/60/15/20/13/20/0.5/35/5/1/25/25/1000/1.25/0.5/False/False/False/False/False/False/True/False/True/3/2000/10/4500/1.5/91314/0/True/False/80/0/30/40/3/True/0/0/1/10/True/True/11/0/0/2.5/1.5/80/0.25/10/0.8/False/False/72022/16/0.5/0.4/0.3/True/1/2/True/0.7 (AfternoonMRBETriggerR/AfternoonMREnableBE/AfternoonMREndHour/AfternoonMRMaxATR/AfternoonMRMaxDailyTrades/AfternoonMRMaxVWAPDev/AfternoonMRMinVWAPDev/AfternoonMRQuantity/AfternoonMRStartHour/AfternoonMRStopDistance/AfternoonMRTargetFraction/CloseContMaxATR/CloseContMinSetupMag/CloseContQuantity/CloseContStopDistance/CloseContTargetDistance/DynamicSizerBufferThreshold/DynamicSizerFullMultiplier/DynamicSizerInitialMultiplier/EnableAfternoonMRModule/EnableCloseContModule/EnableDynamicSizer/EnableFileAuditLogging/EnableLogging/EnableMomentumModule/EnableORBModule/EnableRangeModule/EnableVolatilityGate/LogLevelValue/MaxDailyLoss/MaxTradesPerDay/MaxTrailingDrawdown/MomentumBETriggerR/MomentumBlockedHoursET/MomentumDailyProfitCap/MomentumEnableAutoBreakEven/MomentumEnableVWAPFilter/MomentumFixedStopDistance/MomentumHardExitHourCT/MomentumMaxATR/MomentumMaxATR15m/MomentumMaxDailyTrades/MomentumParityMode/MomentumQuantity/MomentumVWAPDeviation/ORBBETriggerR/ORBEarliestEntryHourET/ORBEnableBreakEven/ORBEnableVWAPFilter/ORBLatestEntryHourET/ORBMaxATR15m/ORBMaxHoldMinutes/ORBMaxRangeATR/ORBMaxStopATR/ORBMaxStopPoints/ORBMinRangeATR/ORBQuantity/ORBTargetMultiplier/ORBUseATRRangeFilter/ORBUseATRStop/RangeBlockedHoursCT/RangeQuantity/RangeTrailMultiplierInitial/RangeTrailMultiplierMid/RangeTrailMultiplierTight/RangeTrailRatchetEnabled/RangeTrailRatchetThreshold1R/RangeTrailRatchetThreshold2R/RTHOnly/VolHighPercentile),-,-,True,0,$0.00,$0.00,APEX3027390000023,Apex,True,
FluxV1,MNQ JUN26,1 Minute,1/True/15/35/3/60/15/20/13/20/0.5/35/5/1/25/25/1000/1.25/0.5/False/False/False/False/False/False/True/False/True/3/2000/10/4500/1.5/91314/0/True/False/80/0/30/40/3/True/0/0/1/10/True/True/11/0/0/2.5/1.5/80/0.25/3/0.8/False/False/72022/16/0.5/0.4/0.3/True/1/2/True/0.7 (AfternoonMRBETriggerR/AfternoonMREnableBE/AfternoonMREndHour/AfternoonMRMaxATR/AfternoonMRMaxDailyTrades/AfternoonMRMaxVWAPDev/AfternoonMRMinVWAPDev/AfternoonMRQuantity/AfternoonMRStartHour/AfternoonMRStopDistance/AfternoonMRTargetFraction/CloseContMaxATR/CloseContMinSetupMag/CloseContQuantity/CloseContStopDistance/CloseContTargetDistance/DynamicSizerBufferThreshold/DynamicSizerFullMultiplier/DynamicSizerInitialMultiplier/EnableAfternoonMRModule/EnableCloseContModule/EnableDynamicSizer/EnableFileAuditLogging/EnableLogging/EnableMomentumModule/EnableORBModule/EnableRangeModule/EnableVolatilityGate/LogLevelValue/MaxDailyLoss/MaxTradesPerDay/MaxTrailingDrawdown/MomentumBETriggerR/MomentumBlockedHoursET/MomentumDailyProfitCap/MomentumEnableAutoBreakEven/MomentumEnableVWAPFilter/MomentumFixedStopDistance/MomentumHardExitHourCT/MomentumMaxATR/MomentumMaxATR15m/MomentumMaxDailyTrades/MomentumParityMode/MomentumQuantity/MomentumVWAPDeviation/ORBBETriggerR/ORBEarliestEntryHourET/ORBEnableBreakEven/ORBEnableVWAPFilter/ORBLatestEntryHourET/ORBMaxATR15m/ORBMaxHoldMinutes/ORBMaxRangeATR/ORBMaxStopATR/ORBMaxStopPoints/ORBMinRangeATR/ORBQuantity/ORBTargetMultiplier/ORBUseATRRangeFilter/ORBUseATRStop/RangeBlockedHoursCT/RangeQuantity/RangeTrailMultiplierInitial/RangeTrailMultiplierMid/RangeTrailMultiplierTight/RangeTrailRatchetEnabled/RangeTrailRatchetThreshold1R/RangeTrailRatchetThreshold2R/RTHOnly/VolHighPercentile),-,-,True,0,$0.00,$0.00,PAAPEX3027390000003,Apex,True,
FluxV1,MNQ JUN26,1 Minute,1/True/15/35/3/60/15/20/13/20/0.5/35/5/1/25/25/1000/1.25/0.5/True/False/False/True/True/False/True/True/True/3/2000/10/4500/1.5/91314/0/True/False/80/0/30/40/3/True/0/0/1/10/True/True/0/0/0/2.5/1.5/80/0.25/16/0.8/False/False/72022/16/0.5/0.4/0.3/True/1/2/False/0.7 (AfternoonMRBETriggerR/AfternoonMREnableBE/AfternoonMREndHour/AfternoonMRMaxATR/AfternoonMRMaxDailyTrades/AfternoonMRMaxVWAPDev/AfternoonMRMinVWAPDev/AfternoonMRQuantity/AfternoonMRStartHour/AfternoonMRStopDistance/AfternoonMRTargetFraction/CloseContMaxATR/CloseContMinSetupMag/CloseContQuantity/CloseContStopDistance/CloseContTargetDistance/DynamicSizerBufferThreshold/DynamicSizerFullMultiplier/DynamicSizerInitialMultiplier/EnableAfternoonMRModule/EnableCloseContModule/EnableDynamicSizer/EnableFileAuditLogging/EnableLogging/EnableMomentumModule/EnableORBModule/EnableRangeModule/EnableVolatilityGate/LogLevelValue/MaxDailyLoss/MaxTradesPerDay/MaxTrailingDrawdown/MomentumBETriggerR/MomentumBlockedHoursET/MomentumDailyProfitCap/MomentumEnableAutoBreakEven/MomentumEnableVWAPFilter/MomentumFixedStopDistance/MomentumHardExitHourCT/MomentumMaxATR/MomentumMaxATR15m/MomentumMaxDailyTrades/MomentumParityMode/MomentumQuantity/MomentumVWAPDeviation/ORBBETriggerR/ORBEarliestEntryHourET/ORBEnableBreakEven/ORBEnableVWAPFilter/ORBLatestEntryHourET/ORBMaxATR15m/ORBMaxHoldMinutes/ORBMaxRangeATR/ORBMaxStopATR/ORBMaxStopPoints/ORBMinRangeATR/ORBQuantity/ORBTargetMultiplier/ORBUseATRRangeFilter/ORBUseATRStop/RangeBlockedHoursCT/RangeQuantity/RangeTrailMultiplierInitial/RangeTrailMultiplierMid/RangeTrailMultiplierTight/RangeTrailRatchetEnabled/RangeTrailRatchetThreshold1R/RangeTrailRatchetThreshold2R/RTHOnly/VolHighPercentile),-,-,True,0,$0.00,$0.00,SimFlux v1,Apex,True,
